Month_Day,2016,2017,2018,2019,2020,2021,2022
04-25,348.1056,339.1794,282.123,292.2966,258.6654,299.943,298.323
04-26,358.2306,358.1172,300.3642,297.999,262.0026,346.9068,302.94
04-27,358.0038,352.431,286.6104,267.5106,294.3216,340.1676,293.0904
04-28,350.0982,336.798,249.9498,281.3778,296.703,326.3814,276.7446
04-29,322.1856,286.74,241.1694,324.0972,295.2936,336.2634,266.7006
04-30,267.4458,254.7288,263.493,310.6188,280.5516,339.795,229.6998
05-01,261.306,266.7654,254.4372,267.462,245.3328,279.8064,223.317
05-02,304.8678,321.4566,293.6736,312.3036,250.7436,296.0388,267.5268
05-03,312.0768,319.9176,294.9048,321.2946,254.2914,324.8424,278.8668
05-04,303.7824,324.5022,284.2128,297.6426,300.591,315.7056,282.7548
05-05,250.3872,319.626,244.0854,295.4556,312.7896,335.9718,278.7048
05-06,250.1604,269.6166,235.6128,337.6728,315.09,356.481,266.1174
05-07,223.7868,264.1572,262.4076,333.1854,312.1254,341.1072,217.9872
05-08,224.8074,319.2696,262.0674,324.324,288.3114,274.8006,222.7986
05-09,262.1808,326.3328,260.4474,321.3108,254.421,241.7364,260.3826
05-10,271.0098,317.1474,235.9854,316.4994,244.5552,285.7194,251.343
05-11,268.4178,297.4158,251.0514,278.964,314.8956,302.1786,244.2312
05-12,273.2292,286.1892,228.2256,278.4132,330.9012,303.588,251.667
05-13,267.9804,245.43,230.3964,316.3698,336.0528,271.5768,239.8572
05-14,237.5244,241.2018,267.6726,322.0722,333.5742,286.3188,211.9446
05-15,232.2918,282.3012,272.16,321.57,312.6276,266.9274,208.5102
05-16,249.7716,275.238,276.0642,323.5626,264.7242,264.3678,248.832
05-17,292.2318,269.4546,280.1466,304.1874,256.2678,308.9826,259.5726
05-18,286.092,271.2528,280.0332,258.5196,289.3968,315.3978,250.1766
05-19,295.5204,274.1526,239.0148,254.3076,301.401,319.221,251.1
05-20,278.154,238.4478,221.1624,304.5114,297.4806,308.3184,234.2358
05-21,231.8868,234.5274,226.6218,308.043,247.0014,283.4676,205.8048
05-22,232.2432,275.5458,264.2706,311.769,245.187,250.9218,212.949
05-23,299.3436,270.9774,268.7094,304.5762,229.554,243.0648,246.807
05-24,306.4716,269.7138,270.1998,287.9388,230.8014,255.5712,257.742
05-25,297.0756,233.5878,262.3428,260.334,292.653,305.9856,237.1194
05-26,247.6818,243.5346,226.5246,243.0324,309.5658,306.909,208.8018
05-27,250.4358,220.3848,224.4834,298.5012,304.8678,313.6158,218.1168
05-28,222.426,218.4408,256.608,311.0076,301.0608,301.2552,208.9152
05-29,223.6248,269.7138,261.063,301.6764,275.3838,257.661,224.3862
05-30,268.191,273.618,261.468,249.6744,227.367,251.748,273.051
05-31,274.2336,272.7756,238.2696,262.8612,215.3466,282.4632,269.3088
06-01,278.9964,273.6342,248.832,235.3536,222.5394,276.777,267.3324
06-02,272.1762,262.602,230.7528,224.4672,281.8962,263.898,260.3502
06-03,263.7036,222.831,229.8132,278.559,289.8018,250.5978,240.3918
06-04,224.7912,213.8886,263.0556,278.1378,295.407,258.0984,199.584
06-05,224.4834,225.0828,272.6784,276.5826,280.6974,233.3286,186.9966
06-06,261.5004,265.3398,267.6402,293.5116,239.4846,236.682,198.1746
06-07,260.1558,267.219,271.35,273.6828,249.4152,291.6648,249.318
06-08,264.9186,272.3706,265.9392,230.6394,312.2712,291.8592,252.3798
06-09,270.1674,269.3574,229.716,226.7028,315.7056,289.3644,250.4844
06-10,259.4106,228.7116,227.2698,242.6436,307.2978,283.9374,234.3816
06-11,227.0592,223.0092,267.2676,290.628,276.2262,263.4282,197.8344
06-12,231.0444,264.9024,274.509,296.784,259.8156,220.5468,200.1996
06-13,274.9788,274.7682,275.076,295.5528,229.2138,223.317,241.4934
06-14,278.883,268.0938,271.026,287.307,242.2224,264.7404,253.8702
06-15,283.7916,246.5802,265.9878,246.7746,301.3524,279.1422,244.8468
06-16,284.553,251.2296,230.526,253.8216,307.7676,276.6312,213.759
06-17,274.6224,230.6394,230.7042,291.5028,305.9046,273.5532,210.0492
06-18,238.1076,229.554,267.057,281.7018,308.6586,262.9098,182.8656
06-19,240.7158,270.4914,271.1394,283.4838,293.8032,220.7412,189.702
06-20,273.0834,266.7978,266.2956,272.0304,245.268,219.1374,237.2328
06-21,281.3454,269.5518,275.9994,274.5252,241.2666,263.3472,244.9764
06-22,278.2512,266.5548,276.372,240.1974,291.5352,287.2584,250.209
06-23,265.8744,255.5388,242.8542,232.551,297.1728,292.1184,234.6408
06-24,258.5682,221.616,247.455,277.1496,294.2244,292.9446,229.3758
06-25,225.7632,221.6646,280.8432,284.3262,294.192,281.1996,188.1144
06-26,229.0032,279.369,279.2718,277.4574,279.2556,231.3198,195.3396
06-27,271.2852,281.9124,270.1674,279.936,236.034,226.638,239.5656
06-28,275.724,281.3616,270.7506,277.0686,235.3698,279.9198,236.6658
06-29,274.0716,282.6414,261.9216,230.364,283.0302,292.0698,245.673
06-30,276.3882,263.7684,232.4052,221.0652,282.204,296.217,244.3608
07-01,260.6904,233.3772,233.8956,279.126,294.5646,298.242,226.3788
07-02,234.2682,231.6438,265.7448,293.1714,310.635,278.316,189.1188
07-03,237.1356,274.671,271.8036,297.1242,290.1096,227.6424,188.7462
07-04,272.0952,278.0406,275.1084,281.2968,231.903,228.2418,226.1034
07-05,271.6578,283.338,274.3308,274.7358,228.7278,271.7064,228.7764
07-06,271.593,285.6546,264.7728,229.311,287.064,258.147,222.183
07-07,270.4266,278.397,228.6468,235.1916,308.0106,283.6296,223.1712
07-08,259.6698,233.523,231.5466,289.1376,314.9604,293.2038,213.9048
07-09,225.2772,233.3934,270.0216,294.8238,303.2964,276.4692,183.789
07-10,222.0696,285.7842,281.5398,294.5808,301.158,232.0326,186.3324
07-11,270.5724,288.9594,284.6178,300.3966,272.403,232.8588,236.1636
07-12,280.3086,281.5074,280.179,279.8712,266.8788,278.5752,230.1372
07-13,283.824,286.497,270.3132,236.8116,304.56,282.0096,225.018
07-14,275.2056,273.9258,234.3006,236.5362,309.4038,277.5708,218.295
07-15,268.8552,236.2446,233.6364,288.7974,314.9928,277.0686,213.6942
07-16,231.2388,229.8294,269.8758,293.382,318.0222,257.8878,177.7626
07-17,230.1696,275.5458,269.649,300.3804,295.4556,218.6514,186.624
07-18,273.8124,271.5444,268.6608,300.267,264.7566,219.024,231.9354
07-19,271.9332,271.3986,272.5326,285.444,257.2398,261.63,221.535
07-20,271.7874,276.3396,266.7816,234.657,296.9298,268.4988,222.8958
07-21,278.2512,262.1484,239.3388,236.5848,305.208,268.515,237.2328
07-22,259.9128,220.887,233.7498,280.7946,304.8678,267.3486,227.6262
07-23,222.1506,220.0122,268.7256,278.7696,285.2496,250.5654,184.0482
07-24,219.0078,270.7344,270.5724,281.9772,275.0436,209.1258,176.499
07-25,265.4856,267.705,268.1586,272.7594,254.7612,210.357,199.908
07-26,270.0864,263.5254,263.0232,259.3782,249.4638,251.8938,222.6042
07-27,271.35,260.8362,248.1516,227.4804,268.8066,252.5418,220.0932
07-28,268.3368,244.9116,218.6838,230.5422,264.6756,241.4772,213.5808
07-29,250.452,213.597,219.9474,278.0082,269.4222,236.277,205.6266
07-30,215.3142,210.276,259.3458,279.8064,274.752,227.9178,168.4962
07-31,214.3422,252.9144,259.524,284.0022,255.8466,206.145,169.29
08-01,246.4506,255.636,265.3398,285.7842,231.1416,210.8916,206.6958
08-02,256.365,256.3812,264.8214,272.4354,248.2812,239.112,198.126
08-03,249.4314,246.9528,253.6758,235.8882,284.2128,246.5478,202.662
08-04,257.0292,237.006,224.0784,225.6012,279.936,249.9984,205.2378
08-05,248.9616,215.298,224.7426,264.5298,273.6504,244.296,190.7226
08-06,213.0948,217.2258,260.334,264.6432,277.83,228.987,165.6936
08-07,207.0198,248.427,256.0086,269.892,267.9318,209.7252,165.2724
08-08,240.4242,252.7038,258.4548,260.8848,237.006,205.3512,193.1526
08-09,254.7774,248.8158,256.1058,253.0926,238.8852,232.2756,195.3072
08-10,261.4518,263.2986,249.156,213.5484,279.9846,242.757,197.2188
08-11,261.0306,257.337,220.5954,219.105,275.9508,247.3254,201.2364
08-12,249.5124,218.9268,223.1226,283.3056,268.9686,245.1384,193.7034
08-13,214.9254,219.2184,258.4386,286.0272,274.0068,228.1608,165.5154
08-14,215.0226,244.7172,257.8068,281.4264,272.7108,206.8578,160.8174
08-15,238.788,242.7732,254.097,255.2148,249.9012,205.7886,201.4794
08-16,262.3752,255.474,257.8068,252.7686,245.8674,240.3756,219.2832
08-17,270.945,254.016,258.4062,215.0712,287.5338,245.9484,225.1638
08-18,275.7078,246.7422,228.501,213.3378,292.3776,246.5478,224.208
08-19,265.356,217.7604,230.7042,268.6608,290.4012,252.1368,212.8194
08-20,223.0578,220.8708,274.4442,283.581,276.8256,244.5876,169.0146
08-21,223.9326,257.337,282.2202,283.662,258.066,214.1154,182.3958
08-22,283.8888,262.926,281.7504,273.7638,220.239,215.5572,223.5114
08-23,295.2126,264.303,278.2998,262.1322,232.8912,252.1206,221.778
08-24,295.5366,265.5828,266.733,219.2022,287.8578,258.5358,223.6572
08-25,289.9152,257.8392,239.517,222.3774,276.696,253.0926,220.6764
08-26,275.481,222.9282,235.1106,276.3882,260.6418,260.3664,221.1138
08-27,226.8486,221.5512,269.5518,282.6576,290.871,252.639,178.4916
08-28,223.6086,268.7742,291.114,282.852,278.559,221.2434,170.2782
08-29,287.7282,270.54,288.6516,283.5,251.6508,222.7338,218.1492
08-30,298.242,274.347,291.4542,269.1792,255.1662,258.9732,218.7486
08-31,294.8076,287.8416,290.5794,221.1138,294.5322,266.9922,226.5408
09-01,293.5926,280.1142,243.1134,229.4244,303.1992,270.6858,226.719
09-02,280.1142,241.6068,237.2328,283.5486,303.264,265.0968,196.7328
09-03,234.09,240.7482,282.9654,291.4704,293.9814,254.583,161.109
09-04,233.3772,287.55,284.6178,285.0552,283.014,219.1374,165.6774
09-05,298.2906,283.8888,285.6546,291.681,237.5892,219.0726,222.8634
09-06,306.5202,277.5708,285.4602,289.5102,250.9056,263.6388,213.2892
09-07,304.3656,280.7136,273.1644,260.2368,295.1478,265.9716,220.0122
09-08,294.3054,272.9376,234.6246,262.7964,292.8474,262.6182,211.9284
09-09,294.4188,249.2856,232.4214,311.3802,296.5734,267.2514,218.9268
09-10,248.9616,247.779,267.7374,303.9606,305.9532,265.2588,181.4886
09-11,244.458,284.4396,269.3736,295.2936,291.7944,222.0048,185.9436
09-12,298.728,291.357,278.2026,292.3452,242.9352,220.1256,220.2228
09-13,295.4556,289.8504,292.5072,289.8666,245.43,269.8434,225.0342
09-14,302.0814,302.6484,279.369,248.8968,290.5956,266.1174,229.0356
09-15,303.1668,304.0254,240.5052,243.2268,299.9268,272.9052,212.5926
09-16,294.111,271.2366,236.7792,305.2566,295.2288,276.4368,204.8652
09-17,247.7304,273.6828,276.2748,298.2744,303.0696,262.3752,183.87
09-18,253.7082,331.047,265.437,320.3064,296.379,217.647,187.8066
09-19,315.6732,336.4578,268.7094,330.7554,262.44,224.0784,245.43
09-20,319.0914,328.1472,268.1424,320.0796,263.2662,275.238,252.639
09-21,312.7734,326.5272,263.5092,264.1086,307.6056,276.0642,255.9114
09-22,310.5216,315.7866,247.1958,257.661,309.9546,273.8772,251.6022
09-23,292.7016,275.4486,251.1,317.5848,304.8354,260.7228,236.8926
09-24,252.3474,273.4398,296.8164,319.4802,299.862,248.2812,192.213
09-25,248.6214,327.5316,309.1446,326.2194,303.3612,221.5836,198.45
09-26,307.9944,329.4108,306.5526,314.7012,263.1042,215.1846,248.2164
09-27,310.4082,327.9042,298.242,294.6294,279.1098,256.9482,247.536
09-28,288.0684,321.9264,302.3082,242.7084,332.7804,277.83,260.6094
09-29,285.2334,304.965,277.8138,242.5464,336.5226,268.029,258.0822
09-30,294.921,271.0908,272.3544,302.0004,327.4992,265.7286,242.595
10-01,267.1218,265.5342,318.6216,317.7954,337.4946,261.6624,188.0658
10-02,261.2412,283.176,314.6364,322.542,308.7558,224.4348,190.6092
